cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
,"$33,096",2 Ton 960 Kg,Dec 23 2016,"D,R",super advanced,M14201,"IN733311,IN732726,IN732160",2.31 meters,104 cm,27 cm
,"$35,363",3 Ton 30 Kg,Nov 12 2004,D,advanced,M14184,"IN732604,IN732692,IN733330,IN733519",2.67 meters,98 cm,26 cm
$443k,"$576,431",3 Ton 290 Kg,Apr 13 2001,"H,A",advanced,M14208,"IN732746,IN732159,IN732753,IN732249,IN732633,IN733999",2.95 meters,97 cm,25 cm
,"$58,459",3 Ton 30 Kg,Jul 05 2013,H,advanced,M14948,"IN732194,IN733445,IN733295,IN733733,IN732107,IN733829",2.57 meters,100 cm,26 cm
,"$14,030",2 Ton 840 Kg,Nov 21 1997,D,advanced,M14949,IN732559,2.98 meters,90 cm,24 cm
,"$57,141",3 Ton 0 Kg,Mar 21 1997,"Q,A",intermediate,M14950,"IN732884,IN732564",2.47 meters,102 cm,27 cm
$223k,"$163,784",3 Ton 430 Kg,Oct 05 2005,"P,P",advanced,M14159,"IN732172,IN732774,IN733275",2.71 meters,104 cm,27 cm
$113k,"$105,048",3 Ton 480 Kg,Oct 08 2003,"V,H",super advanced,M14775,IN732956,2.71 meters,104 cm,27 cm
$254k,"$261,040",2 Ton 920 Kg,Nov 24 2006,D,intermediate,M14319,"IN732714,IN732314,IN732680,IN732450,IN732977",2.6 meters,98 cm,26 cm
$223k,"$115,574",2 Ton 920 Kg,Nov 20 2009,"D,A",intermediate,M14207,"IN732714,IN732450,IN732977,IN732805,IN732390,IN733973",2.87 meters,93 cm,24 cm
$176k,"$100,268",2 Ton 880 Kg,Feb 08 2013,C,intermediate,M14401,"IN732403,IN732965,IN732653,IN733364,IN733014,IN732222,IN732507,IN732143",2.18 meters,106 cm,28 cm
,"$43,500",2 Ton 850 Kg,Oct 24 2008,C,basic,,,2.38 meters,101 cm,26 cm
$50k,"$69,959",3 Ton 400 Kg,Jan 10 2014,H,super advanced,M14940,"IN733086,IN732482,IN732153,IN732145,IN733025,IN732241,IN733004",2.82 meters,101 cm,26 cm
,"$75,126",3 Ton 30 Kg,Jan 22 1999,D,super advanced,M14951,"IN732339,IN732126,IN732466,IN732701,IN732595",2.72 meters,97 cm,25 cm
$113k,"$64,712",3 Ton 240 Kg,Nov 02 2001,"U,H",super advanced,,"IN733283,IN732399,IN732616,IN732650,IN733182",2.68 meters,101 cm,27 cm
$521k,"$514,092",3 Ton 0 Kg,Aug 24 2005,C,basic,M14166,"IN732596,IN732927",2.94 meters,93 cm,24 cm
$47k,"$157,065",2 Ton 910 Kg,Jun 14 2013,N,advanced,M14952,"IN733354,IN733377,IN734000",2.92 meters,92 cm,24 cm
$254k,"$58,093",3 Ton 770 Kg,Oct 08 1998,"S,B",super advanced,M14780,"IN732165,IN732328",2.69 meters,109 cm,29 cm
$37k,"$38,571",2 Ton 850 Kg,Apr 16 2003,C,intermediate,,,2.31 meters,102 cm,27 cm
,"$153,838",3 Ton 240 Kg,Sep 26 1997,D,intermediate,M14816,"IN733866,IN732158",2.76 meters,100 cm,26 cm
$128k,"$169,505",3 Ton 350 Kg,Aug 03 2007,"K,H",advanced,M14295,"IN732085,IN732190,IN732685,IN732681,IN732692,IN732780,IN733039,IN732735,IN733081",2.89 meters,99 cm,26 cm
$72k,"$91,237",3 Ton 110 Kg,Jan 14 2005,"D,R",intermediate,M14723,IN732064,2.51 meters,103 cm,27 cm
$223k,"$321,317",2 Ton 990 Kg,Oct 01 1999,C,intermediate,"M14354,M14719","IN732454,IN733035,IN732315,IN732139,IN733469,IN732115,IN733022,IN732650,IN732714",2.55 meters,100 cm,26 cm
$84k,"$342,792",3 Ton 140 Kg,May 17 2002,"J,D",basic,M14457,"IN732469,IN733145,IN732385",2.38 meters,106 cm,28 cm
$128k,"$301,705",3 Ton 130 Kg,May 25 2005,"J,D",basic,M14457,"IN732469,IN733145,IN732674,IN733458,IN733053",2.6 meters,101 cm,26 cm
$333k,"$330,703",2 Ton 950 Kg,Sep 08 2010,C,basic,"M14732,M14733","IN732737,IN732062,IN732595,IN733340,IN733011,IN734001",2.26 meters,105 cm,28 cm
$144k,"$63,661",3 Ton 230 Kg,Sep 29 2006,"P,P",advanced,,"IN733661,IN732427,IN732748,IN732338",2.47 meters,105 cm,28 cm
$128k,"$517,808",3 Ton 80 Kg,Apr 02 2010,"D,R",advanced,M14140,"IN732139,IN732433,IN733242,IN732877,IN733205,IN732138",2.82 meters,96 cm,25 cm
,"$40,556",2 Ton 810 Kg,Jun 22 2007,"L,A",super advanced,,IN733371,2.58 meters,96 cm,25 cm
$106k,"$108,936",3 Ton 190 Kg,Jan 28 2005,"F,A",super advanced,,"IN732903,IN732275,IN733163,IN732183",2.45 meters,105 cm,28 cm
$12k,"$205,267",2 Ton 850 Kg,Mar 21 2014,U,super advanced,M14953,"IN732660,IN732173",2.22 meters,104 cm,27 cm
$31k,"$228,796",3 Ton 30 Kg,May 01 2015,U,super advanced,M14953,"IN733196,IN732084,IN732964,IN733149",2.69 meters,98 cm,26 cm
$34k,"$251,574",3 Ton 50 Kg,Apr 14 2017,U,super advanced,,IN732964,2.26 meters,107 cm,28 cm
$176k,"$516,577",3 Ton 160 Kg,Sep 28 2007,H,advanced,M14798,"IN732440,IN732113,IN732439",3.31 meters,90 cm,24 cm
,"$11,378",2 Ton 890 Kg,Sep 18 2015,N,super advanced,M14954,,2.59 meters,97 cm,25 cm
,"$180,035",2 Ton 970 Kg,Jul 14 2007,"H,M",advanced,M14558,"IN732650,IN732822,IN732430",2.36 meters,103 cm,27 cm
,"$70,849",2 Ton 950 Kg,Feb 07 1997,"Q,A",super advanced,M14955,"IN733197,IN732889,IN733175",2.26 meters,105 cm,28 cm
,"$29,453",2 Ton 980 Kg,Feb 06 2015,N,advanced,M14956,"IN733285,IN733653,IN733740",2.54 meters,100 cm,26 cm
$69k,"$58,521",3 Ton 100 Kg,Dec 24 1999,N,super advanced,,,2.49 meters,103 cm,27 cm
,"$10,972",3 Ton 480 Kg,Jan 09 2015,"L,A",super advanced,M14957,,3.25 meters,95 cm,25 cm
,"$15,615",3 Ton 10 Kg,Jan 04 2013,"L,A",super advanced,M14957,,2.58 meters,99 cm,26 cm
,"$16,662",3 Ton 70 Kg,Jan 23 2015,H,super advanced,,"IN732269,IN732684",2.46 meters,103 cm,27 cm
,"$146,970",3 Ton 100 Kg,Sep 04 1998,"U,H",advanced,,"IN732489,IN732617,IN732931,IN732282,IN732354,IN733182,IN732115",2.88 meters,96 cm,25 cm
$84k,"$53,010",3 Ton 30 Kg,Feb 08 2013,U,super advanced,M14769,"IN732093,IN733207,IN733091,IN732143,IN733759",2.8 meters,96 cm,25 cm
$103k,"$110,143",3 Ton 220 Kg,Sep 23 2009,"Q,H",super advanced,M14531,"IN732486,IN733035",2.8 meters,99 cm,26 cm
$26k,"$14,736",2 Ton 970 Kg,Feb 06 2004,G,super advanced,,IN732710,2.55 meters,99 cm,26 cm
,"$81,655",2 Ton 960 Kg,Jan 17 2008,N,super advanced,M14700,"IN732525,IN732741,IN732149,IN732782,IN734002",3.1 meters,90 cm,24 cm
,"$168,601",3 Ton 50 Kg,Nov 14 2003,"U,A",advanced,M14448,"IN732228,IN732453,IN732756",2.68 meters,98 cm,26 cm
,"$109,396",3 Ton 90 Kg,Oct 24 1997,N,super advanced,M14183,"IN733916,IN732834",2.46 meters,103 cm,27 cm
,"$63,052",2 Ton 880 Kg,Nov 20 1998,A,super advanced,M14286,,2.29 meters,103 cm,27 cm
$160k,"$143,264",3 Ton 180 Kg,May 25 2001,"T,D",advanced,,"IN733018,IN732207,IN732472",2.72 meters,99 cm,26 cm
,"$27,065",2 Ton 850 Kg,Aug 24 2007,N,advanced,,"IN733095,IN732648",2.58 meters,97 cm,25 cm
$427k,"$579,634",3 Ton 510 Kg,Oct 07 2016,"B,A",super advanced,M14279,"IN732885,IN732857,IN732400,IN733989,IN732512",2.95 meters,100 cm,26 cm
,"$29,559",2 Ton 950 Kg,Jun 27 1997,U,super advanced,M14958,"IN732700,IN732808",2.55 meters,99 cm,26 cm
$154k,"$408,386",3 Ton 90 Kg,Aug 01 2003,N,advanced,M14743,"IN732850,IN733279,IN732419,IN732548",2.52 meters,102 cm,27 cm
,"$242,206",3 Ton 70 Kg,Dec 30 2005,N,advanced,,"IN732850,IN733381,IN732061",2.28 meters,107 cm,28 cm
,"$114,021",2 Ton 940 Kg,Oct 06 2006,D,advanced,,"IN732835,IN732419,IN732136",2.63 meters,97 cm,25 cm
$119k,"$106,540",3 Ton 120 Kg,Nov 11 2011,U,advanced,M14129,"IN732457,IN734003,IN733248,IN732523,IN732744",2.78 meters,97 cm,26 cm
$301k,"$162,511",2 Ton 990 Kg,Jan 12 2001,C,intermediate,"M14615,M14738",IN732314,2.5 meters,101 cm,26 cm
$238k,"$423,910",3 Ton 360 Kg,Mar 21 1997,A,super advanced,M14128,"IN733220,IN732231,IN732260,IN733168,IN733359,IN733421,IN732206,IN733316,IN732593",2.48 meters,107 cm,28 cm
$50k,"$22,854",3 Ton 20 Kg,Jun 03 2009,D,advanced,,"IN733575,IN732517,IN732120,IN732482,IN733748,IN732516,IN733262,IN732500,IN732185,IN732585",2.5 meters,101 cm,27 cm
$72k,"$240,223",3 Ton 290 Kg,Jan 10 2003,"T,H",basic,M14832,"IN732419,IN732528",2.84 meters,99 cm,26 cm
$53k,"$119,900",2 Ton 930 Kg,Nov 18 2011,U,advanced,M14959,"IN733074,IN732212,IN732733,IN732945,IN732884",3.16 meters,89 cm,23 cm
$40k,"$6,219",3 Ton 20 Kg,Mar 27 2015,H,super advanced,M14960,"IN733452,IN732789,IN733412",2.09 meters,111 cm,29 cm
$69k,"$167,225",3 Ton 90 Kg,Sep 27 2002,D,super advanced,M14538,"IN732350,IN732503,IN732196,IN732583,IN732115,IN732501,IN732502",2.74 meters,98 cm,26 cm
$78k,"$318,432",2 Ton 810 Kg,Sep 03 1999,C,basic,,"IN732235,IN733602",2.62 meters,95 cm,25 cm
,"$57,485",2 Ton 970 Kg,Jan 16 2009,"N,U",super advanced,,"IN733049,IN734004",2.38 meters,103 cm,27 cm
$15k,"$23,241",3 Ton 100 Kg,Jul 25 2003,D,super advanced,,"IN733594,IN732302,IN732894,IN732873,IN734005,IN732962,IN732658,IN732553,IN732118,IN732498",2.09 meters,112 cm,29 cm
$144k,"$43,904",3 Ton 200 Kg,Aug 10 2012,B,super advanced,M14961,"IN732130,IN732616,IN732198,IN733128,IN732328",2.66 meters,101 cm,26 cm
$270k,"$152,655",3 Ton 40 Kg,Jul 09 2004,"D,A",advanced,M14298,"IN732479,IN732766,IN732545,IN732456,IN732566",2.72 meters,97 cm,26 cm
,"$195,497",3 Ton 180 Kg,Jan 16 1998,"U,A",advanced,M14389,"IN732454,IN732889",2.32 meters,108 cm,28 cm
$207k,"$440,142",3 Ton 50 Kg,Aug 15 2003,"J,D",basic,M14425,IN732832,2.59 meters,100 cm,26 cm
,"$268,183",2 Ton 980 Kg,Aug 17 2007,"J,D",basic,M14425,"IN732832,IN732674",2.71 meters,97 cm,25 cm
$216k,"$226,110",3 Ton 230 Kg,Apr 26 2002,F,super advanced,M14352,"IN732097,IN732847,IN733968,IN732446",2.51 meters,104 cm,27 cm
$191k,"$288,751",2 Ton 920 Kg,Jan 31 2003,"K,A",advanced,,"IN732766,IN732339",3.17 meters,88 cm,23 cm
$34k,"$106,637",3 Ton 220 Kg,Dec 18 2015,"D,H",intermediate,M14382,"IN732983,IN732786,IN732401,IN732526,IN732319,IN733000",2.6 meters,102 cm,27 cm
$37k,"$121,377",3 Ton 100 Kg,Jul 31 2009,H,advanced,M14316,"IN732738,IN733010,IN732863,IN732437,IN733858,IN732261",2.57 meters,101 cm,27 cm
$238k,"$1,160,032",2 Ton 900 Kg,Apr 21 2017,C,intermediate,M14468,"IN733488,IN732537,IN733981,IN732395",2.57 meters,98 cm,26 cm
$285k,"$185,675",3 Ton 140 Kg,Oct 08 2014,D,intermediate,M14904,"IN732503,IN732435,IN732485,IN732648,IN732718,IN732806",2.96 meters,95 cm,25 cm
,"$63,045",2 Ton 940 Kg,Nov 30 2012,C,basic,,"IN732966,IN732521,IN732875,IN733201",2.94 meters,92 cm,24 cm
$64k,"$66,116",3 Ton 110 Kg,Sep 02 2016,U,advanced,M14355,"IN733656,IN732076,IN732684,IN732562",2.21 meters,109 cm,29 cm
,"$30,347",2 Ton 940 Kg,Jul 18 2008,K,intermediate,,,2.58 meters,98 cm,26 cm
,"$116,697",3 Ton 50 Kg,Feb 02 2007,"U,A",advanced,M14827,"IN732349,IN732371,IN733343,IN732238,IN732445",2.87 meters,95 cm,25 cm
,"$194,744",2 Ton 980 Kg,Dec 22 2006,"J,D",intermediate,M14184,"IN732832,IN732115,IN732691,IN732658,IN732647",2.87 meters,94 cm,25 cm
$56k,"$175,896",2 Ton 850 Kg,Apr 07 2017,N,advanced,M14623,IN732416,2.55 meters,97 cm,26 cm
$223k,"$131,465",3 Ton 160 Kg,Aug 20 1999,"U,H",super advanced,M14340,"IN732158,IN732527,IN732074,IN733189,IN732627",3.02 meters,94 cm,25 cm
$238k,"$578,054",2 Ton 870 Kg,May 09 2008,C,advanced,M14738,"IN734006,IN734007,IN734008,IN734009,IN734010,IN732565,IN732979,IN732333",2.79 meters,93 cm,24 cm
$81k,"$125,407",3 Ton 190 Kg,Mar 15 2006,"D,H",intermediate,M14322,"IN733769,IN732997,IN732416,IN732070,IN733046",2.63 meters,101 cm,27 cm
$88k,"$141,231",3 Ton 170 Kg,May 20 2009,"D,H",advanced,,"IN733769,IN732997,IN732416,IN732070",2.57 meters,102 cm,27 cm
$81k,"$98,353",3 Ton 0 Kg,Sep 21 2012,D,super advanced,M14784,"IN732121,IN733954,IN732321,IN734011,IN733581",2.51 meters,101 cm,26 cm
$128k,"$924,795",3 Ton 70 Kg,May 19 2000,N,advanced,M14205,"IN732074,IN732250,IN732405,IN733595",2.6 meters,100 cm,26 cm
$138k,"$153,225",3 Ton 40 Kg,May 26 2006,N,advanced,M14638,"IN732109,IN732576,IN733476",2.69 meters,98 cm,26 cm
$113k,"$112,819",3 Ton 70 Kg,Jan 12 2001,U,advanced,M14209,"IN732892,IN732151,IN732877",3.01 meters,93 cm,24 cm
$348k,"$450,754",2 Ton 860 Kg,May 11 2012,"J,D",intermediate,M14312,"IN732329,IN734012,IN732565,IN733578,IN732947,IN732731,IN734013,IN732507",2.5 meters,99 cm,26 cm
$333k,"$225,827",3 Ton 50 Kg,May 14 2014,"J,D",intermediate,M14312,"IN732329,IN732143,IN734012,IN732838,IN732565,IN733578,IN732111,IN732731,IN732507",2.3 meters,106 cm,28 cm
$128k,"$307,336",3 Ton 200 Kg,Jul 15 2011,"D,H",advanced,M14545,"IN732184,IN732242,IN732508,IN733328,IN732644,IN732342,IN733070",2.65 meters,101 cm,27 cm
,"$102,370",3 Ton 90 Kg,Feb 05 2010,"P,H",advanced,M14271,"IN732466,IN732691,IN732658,IN732798,IN733049",3.19 meters,91 cm,24 cm
$474k,"$201,113",3 Ton 110 Kg,Apr 27 2011,K,intermediate,M14478,"IN732231,IN732498,IN732390,IN732791,IN733843",3.01 meters,94 cm,25 cm
,"$24,253",2 Ton 950 Kg,May 16 2014,"D,H",super advanced,M14962,"IN733170,IN732131,IN732061",2.73 meters,96 cm,25 cm
$285k,"$226,384",2 Ton 970 Kg,Nov 27 2008,K,intermediate,M14283,"IN732293,IN733780,IN732382,IN732319,IN732213,IN733353",2.72 meters,96 cm,25 cm
,"$64,941",3 Ton 80 Kg,Oct 08 2009,"K,A",advanced,M14564,"IN732539,IN732094,IN732692,IN732153",2.36 meters,105 cm,28 cm
,"$42,486",3 Ton 160 Kg,Jun 06 1997,H,advanced,,,2.62 meters,101 cm,27 cm
$235k,"$514,779",2 Ton 930 Kg,Nov 20 2015,C,intermediate,"M14228,M14963",IN732728,2.3 meters,104 cm,27 cm
$97k,"$271,067",2 Ton 900 Kg,Sep 02 2005,C,intermediate,,"IN732502,IN732692",2.36 meters,102 cm,27 cm
$91k,"$79,081",2 Ton 920 Kg,Oct 29 2010,"D,A",intermediate,,"IN732755,IN732638,IN732731,IN734014",2.61 meters,97 cm,26 cm
$66k,"$94,021",3 Ton 10 Kg,Jul 30 2010,"N,U",advanced,,"IN733238,IN732198,IN732225",2.93 meters,93 cm,24 cm
$285k,"$189,595",2 Ton 930 Kg,Mar 25 2005,"S,D",advanced,M14352,"IN732684,IN732427,IN732566,IN732991,IN732054",3.12 meters,89 cm,23 cm
$160k,"$87,856",2 Ton 950 Kg,Jul 28 2000,"D,H",super advanced,M14210,"IN732074,IN732315",2.74 meters,96 cm,25 cm
$31k,"$167,959",3 Ton 70 Kg,Mar 13 2009,U,super advanced,M14964,"IN732629,IN734015",2.61 meters,100 cm,26 cm
,"$10,547",2 Ton 940 Kg,Jun 13 1997,D,intermediate,M14342,IN732677,2.45 meters,101 cm,26 cm
,"$49,271",3 Ton 140 Kg,Jan 31 1997,A,super advanced,M14965,"IN733303,IN733400",3.19 meters,91 cm,24 cm
$216k,"$376,276",3 Ton 180 Kg,Mar 14 2003,"U,A",advanced,,"IN732108,IN732505,IN732756,IN733136",2.67 meters,101 cm,26 cm
$138k,"$80,373",2 Ton 840 Kg,Jan 24 2003,"D,R",super advanced,M14417,"IN732964,IN732305,IN732517,IN732903,IN732654,IN732323",2.55 meters,97 cm,25 cm
$62k,"$89,990",3 Ton 0 Kg,Jun 03 2011,D,advanced,"M14336,M14337","IN732654,IN732504,IN733469,IN732673,IN733275",2.61 meters,99 cm,26 cm
$317k,"$208,343",3 Ton 210 Kg,Mar 26 2010,"U,A",super advanced,M14464,"IN732158,IN732275,IN732233,IN732598",2.51 meters,104 cm,27 cm
$191k,"$162,554",2 Ton 870 Kg,Oct 02 2009,C,basic,M14559,"IN732427,IN733019,IN733445,IN734016,IN732314,IN732277,IN732306,IN732523,IN732913,IN733213,IN733128,IN732586,IN732393",2.45 meters,100 cm,26 cm
$128k,"$258,124",3 Ton 390 Kg,Oct 07 2000,U,super advanced,M14415,"IN732489,IN732350,IN732252,IN732580,IN732334,IN733310,IN732724",2.46 meters,108 cm,28 cm
,"$5,712",2 Ton 880 Kg,Aug 01 2008,C,intermediate,,"IN732255,IN732167,IN732390,IN733731",2.52 meters,98 cm,26 cm
$191k,"$247,363",3 Ton 280 Kg,Apr 01 2005,"D,H",advanced,M14163,"IN732596,IN732564,IN732306,IN733066,IN732689",2.68 meters,102 cm,27 cm
$33k,"$255,842",2 Ton 900 Kg,Jul 30 2004,N,super advanced,M14420,"IN732873,IN733046",2.43 meters,100 cm,26 cm
$53k,"$126,867",2 Ton 840 Kg,Jul 20 2007,N,super advanced,M14296,"IN732601,IN733632",2.46 meters,99 cm,26 cm
$50k,"$115,481",3 Ton 230 Kg,Aug 21 2015,H,advanced,M14966,"IN733247,IN733531,IN733280,IN733447",3.06 meters,95 cm,25 cm
$166k,"$117,074",3 Ton 700 Kg,Oct 08 1999,V,super advanced,M14945,"IN732485,IN732956,IN732593,IN733994,IN732746,IN732093,IN732112,IN732376,IN732382,IN732249,IN732275,IN732903",2.86 meters,105 cm,27 cm
$122k,"$55,901",,Jul 27 2012,"S,N",super advanced,,"IN732438,IN732061,IN732861,IN733229",nan meters,,
$53k,"$40,156",3 Ton 0 Kg,Mar 10 2000,"S,U",super advanced,,,2.73 meters,97 cm,25 cm
$154k,"$220,447",3 Ton 130 Kg,May 19 2000,"U,R",super advanced,M14293,"IN732441,IN732833",2.25 meters,109 cm,28 cm
$238k,"$66,727",3 Ton 100 Kg,Aug 03 2012,"Q,A",advanced,M14218,"IN732194,IN732813,IN733803,IN733030,IN733207,IN732347,IN732984,IN733545,IN732855,IN732670",2.88 meters,96 cm,25 cm
$97k,"$142,011",2 Ton 920 Kg,Jan 25 2013,D,intermediate,M14505,"IN732990,IN734017,IN734018,IN732516,IN732838,IN732863,IN734019,IN733997",2.9 meters,92 cm,24 cm
$97k,"$145,832",2 Ton 770 Kg,Nov 24 2000,C,basic,,,2.59 meters,95 cm,25 cm
$254k,"$181,263",2 Ton 960 Kg,Dec 20 2002,"S,B",advanced,M14719,IN732789,2.53 meters,100 cm,26 cm
$125k,"$201,942",3 Ton 80 Kg,May 28 2010,R,advanced,M14557,"IN732335,IN732853,IN732421",2.58 meters,101 cm,26 cm
$317k,"$215,188",3 Ton 30 Kg,Sep 23 2011,"U,R",advanced,M14967,"IN732130,IN732322,IN732261,IN732540,IN732301",2.24 meters,107 cm,28 cm
$119k,"$292,330",3 Ton 230 Kg,Jul 01 2011,"F,H",super advanced,M14258,"IN732108,IN732923,IN733039,IN732367,IN732146,IN732416,IN734020",2.95 meters,96 cm,25 cm
$69k,"$82,189",2 Ton 920 Kg,Jul 25 2003,A,advanced,,IN732993,2.62 meters,97 cm,25 cm
,"$53,077",2 Ton 960 Kg,Jun 17 2016,A,advanced,M14356,IN733127,2.62 meters,98 cm,26 cm
,"$397,359",3 Ton 30 Kg,Mar 19 1999,"D,H",intermediate,M14721,"IN732267,IN732260,IN732412,IN732770,IN732082",2.7 meters,98 cm,26 cm
,"$112,240",2 Ton 970 Kg,Feb 07 1997,"D,R",advanced,M14151,"IN732466,IN732748",2.84 meters,94 cm,25 cm
,"$19,527",3 Ton 0 Kg,Aug 08 2003,"U,R",advanced,M14311,"IN732159,IN732113,IN732590",2.64 meters,98 cm,26 cm
$191k,"$161,520",2 Ton 990 Kg,Jul 11 2003,"D,A",advanced,,"IN732638,IN732961",2.78 meters,96 cm,25 cm
$348k,"$886,408",3 Ton 80 Kg,Aug 31 2012,R,advanced,M14499,"IN733452,IN732434,IN732388,IN733911,IN732506,IN734021,IN734022,IN734023,IN732343,IN733971,IN733301,IN732214,IN732430",2.87 meters,95 cm,25 cm
$380k,"$921,084",3 Ton 160 Kg,Aug 30 2013,R,advanced,M14499,"IN732434,IN733452,IN732388,IN732506,IN734021,IN733911,IN733010,IN733301,IN732430,IN734023,IN732343,IN733971",2.67 meters,100 cm,26 cm
$216k,"$946,867",3 Ton 240 Kg,Apr 13 2011,R,advanced,M14147,"IN732434,IN733452,IN732388,IN733911,IN732506,IN734021,IN734022,IN734023,IN732343,IN733971,IN733010,IN734024,IN732215,IN733342,IN732214,IN734025,IN733621",2.69 meters,101 cm,26 cm
$160k,"$934,589",3 Ton 300 Kg,Sep 03 2010,R,advanced,M14193,"IN732434,IN733452,IN732388,IN732506,IN733911,IN734021,IN734022,IN733971,IN732343,IN732430,IN733010,IN732214,IN732945",2.9 meters,98 cm,26 cm
$122k,"$282,054",2 Ton 960 Kg,May 07 2010,"D,R",super advanced,M14136,"IN732136,IN732172,IN733716",2.59 meters,98 cm,26 cm
,"$13,521",3 Ton 170 Kg,Dec 21 2007,H,intermediate,M14968,"IN732664,IN732662,IN732674,IN733713,IN734026,IN734027",2.74 meters,99 cm,26 cm
$53k,"$136,771",2 Ton 880 Kg,Oct 23 2009,N,advanced,M14335,"IN734028,IN732270,IN732945,IN732588,IN733900,IN732149,IN732532",2.37 meters,101 cm,27 cm
,"$92,558",2 Ton 870 Kg,Nov 13 2009,N,advanced,,"IN732987,IN733567,IN732319,IN733110",2.62 meters,96 cm,25 cm
$40k,"$61,661",3 Ton 180 Kg,Dec 23 2005,"D,H",super advanced,M14333,"IN732165,IN733129,IN733330,IN732417,IN732417,IN732675,IN732229,IN734029",2.62 meters,101 cm,27 cm
$191k,"$361,480",3 Ton 80 Kg,May 13 2005,"Q,N",advanced,M14205,"IN732232,IN732215,IN732956,IN732393,IN732143,IN732184,IN733595",2.76 meters,97 cm,26 cm
$9k,"$4,719",2 Ton 860 Kg,Jul 08 2011,D,super advanced,,,2.18 meters,105 cm,28 cm
$18k,"$207,569",2 Ton 940 Kg,Jun 24 2016,N,advanced,M14205,,2.53 meters,99 cm,26 cm
$97k,"$395,461",3 Ton 40 Kg,Nov 23 2012,H,advanced,M14969,"IN732335,IN732122,IN733117,IN734015,IN733945",2.78 meters,96 cm,25 cm
$113k,"$34,566",3 Ton 230 Kg,Jul 13 2016,B,intermediate,M14166,"IN732066,IN732255,IN733962,IN732088",2.53 meters,104 cm,27 cm
$135k,"$20,520",3 Ton 0 Kg,Sep 16 2011,W,super advanced,M14970,"IN732118,IN732182,IN733245",2.72 meters,97 cm,25 cm
$25k,"$34,441",2 Ton 960 Kg,Aug 30 2002,D,super advanced,,"IN732710,IN732155",2.72 meters,96 cm,25 cm
$216k,"$113,783",3 Ton 20 Kg,May 10 2013,D,super advanced,M14619,"IN732503,IN732589,IN732121,IN733918,IN733029,IN732636,IN733043",2.27 meters,106 cm,28 cm
$97k,"$93,657",2 Ton 970 Kg,Jun 22 2001,U,super advanced,,"IN732207,IN732463",2.7 meters,97 cm,25 cm
,"$131,355",3 Ton 120 Kg,Oct 07 2008,K,intermediate,M14673,"IN733280,IN733994,IN732741,IN732419",2.84 meters,96 cm,25 cm
$75k,"$510,059",2 Ton 900 Kg,Aug 20 1999,"T,D",advanced,M14261,"IN732217,IN732280,IN733148,IN732219",2.29 meters,104 cm,27 cm
$97k,"$11,206",3 Ton 190 Kg,Nov 04 2011,H,advanced,M14721,"IN732453,IN732260,IN732667,IN732716,IN732116",2.47 meters,105 cm,27 cm
,"$70,283",3 Ton 30 Kg,Apr 18 2014,D,advanced,"M14971,M14972","IN732459,IN732405,IN732321,IN732366,IN732355,IN732782,IN732114,IN734030",2.49 meters,102 cm,27 cm
$29k,"$21,743",3 Ton 190 Kg,Jun 22 2001,"F,A",super advanced,M14646,"IN732221,IN733283,IN732673,IN732727,IN733042",2.8 meters,98 cm,26 cm
$72k,"$41,934",3 Ton 20 Kg,Aug 11 2006,"D,H",super advanced,M14743,"IN732231,IN732681,IN733002,IN732404",2.73 meters,97 cm,25 cm
$50k,"$102,392",2 Ton 900 Kg,Nov 18 2005,"D,R",advanced,,"IN733625,IN732671,IN732535,IN733310",2.92 meters,92 cm,24 cm
$113k,"$192,473",3 Ton 40 Kg,Nov 09 2001,"D,R",advanced,M14188,"IN732582,IN732368",2.24 meters,107 cm,28 cm
$75k,"$205,226",3 Ton 10 Kg,Oct 30 2015,D,super advanced,M14973,"IN732395,IN732120,IN732519,IN733221",2.27 meters,106 cm,28 cm
$59k,"$254,818",3 Ton 100 Kg,Nov 27 1998,"D,R",advanced,M14261,"IN732217,IN732218,IN732373",3.06 meters,93 cm,24 cm
$132k,"$182,614",2 Ton 980 Kg,Dec 01 2000,"F,D",super advanced,,"IN732339,IN732105,IN732074,IN732114",2.44 meters,102 cm,27 cm
$128k,"$54,016",2 Ton 990 Kg,Jan 21 2005,"F,D",advanced,,"IN732074,IN732105,IN732114",2.64 meters,98 cm,26 cm
$128k,"$77,014",3 Ton 60 Kg,Jun 15 2007,"N,U",advanced,M14458,"IN732231,IN733212,IN732230,IN734031",2.61 meters,100 cm,26 cm
$254k,"$120,164",2 Ton 940 Kg,Jan 26 2007,C,basic,,IN732371,2.67 meters,97 cm,25 cm
,"$27,869",2 Ton 900 Kg,Jun 23 2017,C,intermediate,,,2.53 meters,99 cm,26 cm
$81k,"$128,723",2 Ton 790 Kg,Oct 03 2003,C,intermediate,,IN732463,2.97 meters,89 cm,23 cm
,"$81,694",2 Ton 920 Kg,Dec 02 2016,N,super advanced,,IN734032,2.04 meters,110 cm,29 cm
$9k,"$49,268",3 Ton 10 Kg,Aug 20 1999,K,basic,,,2.18 meters,108 cm,28 cm
$317k,"$369,973",3 Ton 800 Kg,Oct 08 2014,H,super advanced,M14361,"IN732885,IN732121,IN732368,IN732402,IN732626,IN733372,IN733018,IN734033,IN734034,IN733912",2.53 meters,113 cm,30 cm
